"Student","Course","Alternative","Enrolled","Primary","Priority","Alternativity"
""," C19","0","1","1","1","0"
""," C12","0","1","1","1","0"
""," C5","0","1","1","1","0"
""," C12","0","1","1","1","0"
""," C13","0","1","1","1","0"
""," C19","0","1","1","2","0"
""," C19","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C17","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C12","0","1","1","1","0"
""," C5","0","1","1","1","0"
""," C17","0","1","1","2","0"
""," C1","0","1","1","3","0"
""," C14","0","1","1","4","0"
""," C19","0","1","1","1","0"
""," C1","0","1","1","1","0"
""," C5","0","1","1","1","0"
""," C8","0","1","1","2","0"
""," C11","0","1","1","3","0"
""," C19","0","1","1","1","0"
""," C5","0","1","1","1","0"
""," C17","0","1","1","2","0"
""," C1","0","1","1","3","0"
""," C14","0","1","1","4","0"
""," C9","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C11","0","1","1","1","0"
""," C19","0","1","1","2","0"
""," C9","0","1","1","1","0"
""," C5","0","1","1","2","0"
""," C1","0","1","1","3","0"
""," C8","0","1","1","1","0"
""," C11","0","1","1","2","0"
""," C5","0","1","1","1","0"
""," C11","0","1","1","1","0"
""," C13","0","1","1","2","0"
""," C12","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C5","0","1","1","1","0"
""," C12","0","1","1","1","0"
""," C8","0","1","1","1","0"
""," C13","0","1","1","2","0"
""," C19","0","1","1","3","0"
""," C8","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C9","0","1","1","1","0"
""," C2","0","1","1","1","0"
""," C5","0","1","1","1","0"
""," C17","0","1","1","2","0"
""," C1","0","1","1","3","0"
""," C19","0","1","1","1","0"
""," C12","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C12","0","1","1","1","0"
""," C8","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C8","0","1","1","1","0"
""," C11","0","1","1","2","0"
""," C13","0","1","1","3","0"
""," C19","0","1","1","1","0"
""," C1","0","1","1","1","0"
""," C1","0","1","1","1","0"
""," C16","0","1","1","1","0"
""," C11","0","1","1","2","0"
""," C8","0","1","1","1","0"
""," C9","0","1","1","1","0"
""," C19","0","1","1","2","0"
""," C1","0","1","1","1","0"
""," C12","0","1","1","1","0"
""," C5","0","1","1","1","0"
""," C16","0","1","1","2","0"
""," C11","0","1","1","3","0"
""," C19","0","1","1","1","0"
""," C17","0","1","1","1","0"
""," C16","0","1","1","1","0"
""," C8","0","1","1","1","0"
""," C13","0","1","1","2","0"
""," C19","0","1","1","3","0"
""," C8","0","1","1","1","0"
""," C19","0","1","1","2","0"
""," C13","0","1","1","1","0"
""," C12","0","1","1","1","0"
""," C8","0","1","1","1","0"
""," C13","0","1","1","1","0"
""," C9","0","1","1","1","0"
""," C8","0","1","1","1","0"
""," C13","0","1","1","2","0"
""," C19","0","1","1","3","0"
""," C19","0","1","1","1","0"
""," C5","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C10","0","1","1","1","0"
""," C19","0","1","1","2","0"
""," C19","0","1","1","1","0"
""," C8","0","1","1","1","0"
""," C13","0","1","1","2","0"
""," C19","0","1","1","1","0"
""," C12","0","1","1","1","0"
""," C13","0","1","1","1","0"
""," C19","0","1","1","2","0"
""," C8","0","1","1","1","0"
""," C9","0","1","1","1","0"
""," C10","0","1","1","2","0"
""," C5","0","1","1","3","0"
""," C15","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C13","0","1","1","1","0"
""," C19","0","1","1","2","0"
""," C8","0","1","1","1","0"
""," C9","0","1","1","1","0"
""," C19","0","1","1","2","0"
""," C2","0","1","1","1","0"
""," C13","0","1","1","1","0"
""," C16","0","1","1","1","0"
""," C19","0","1","1","2","0"
""," C2","0","1","1","1","0"
""," C14","0","1","1","1","0"
""," C8","0","1","1","1","0"
""," C13","0","1","1","2","0"
""," C19","0","1","1","3","0"
""," C19","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C12","0","1","1","1","0"
""," C5","0","1","1","1","0"
""," C2","0","1","1","2","0"
""," C19","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C1","0","1","1","1","0"
""," C5","0","1","1","1","0"
""," C16","0","1","1","2","0"
""," C19","0","1","1","3","0"
""," C19","0","1","1","1","0"
""," C8","0","1","1","1","0"
""," C11","0","1","1","1","0"
""," C13","0","1","1","2","0"
""," C19","0","1","1","1","0"
""," C13","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C13","0","1","1","1","0"
""," C19","0","1","1","2","0"
""," C17","0","1","1","1","0"
""," C1","0","1","1","2","0"
""," C14","0","1","1","3","0"
""," C5","0","1","1","1","0"
""," C8","0","1","1","2","0"
""," C13","0","1","1","1","0"
""," C19","0","1","1","2","0"
""," C9","0","1","1","1","0"
""," C5","0","1","1","2","0"
""," C8","0","1","1","1","0"
""," C11","0","1","1","2","0"
""," C9","0","1","1","1","0"
""," C11","0","1","1","2","0"
""," C2","0","1","1","1","0"
""," C8","0","1","1","1","0"
""," C19","0","1","1","2","0"
""," C13","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C9","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C13","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C2","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C8","0","1","1","1","0"
""," C19","0","1","1","2","0"
""," C12","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C12","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C5","0","1","1","1","0"
""," C14","0","1","1","2","0"
""," C13","0","1","1","1","0"
""," C13","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C5","0","1","1","1","0"
""," C16","0","1","1","2","0"
""," C16","0","1","1","1","0"
""," C14","0","1","1","2","0"
""," C5","0","1","1","1","0"
""," C12","0","1","1","1","0"
""," C12","0","1","1","1","0"
""," C12","0","1","1","1","0"
""," C12","0","1","1","1","0"
""," C12","0","1","1","1","0"
""," C12","0","1","1","1","0"
""," C12","0","1","1","1","0"
""," C8","0","1","1","1","0"
""," C1","0","1","1","1","0"
""," C19","0","1","1","2","0"
""," C8","0","1","1","1","0"
""," C11","0","1","1","2","0"
""," C19","0","1","1","3","0"
""," C12","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C12","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C8","0","1","1","1","0"
""," C11","0","1","1","1","0"
""," C19","0","1","1","2","0"
""," C4","0","1","1","1","0"
""," C8","0","1","1","2","0"
""," C13","0","1","1","3","0"
""," C19","0","1","1","4","0"
""," C8","0","1","1","1","0"
""," C13","0","1","1","2","0"
""," C19","0","1","1","1","0"
""," C9","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C13","0","1","1","1","0"
""," C14","0","1","1","1","0"
""," C13","0","1","1","1","0"
""," C19","0","1","1","2","0"
""," C8","0","1","1","1","0"
""," C13","0","1","1","2","0"
""," C9","0","1","1","1","0"
""," C10","0","1","1","2","0"
""," C5","0","1","1","3","0"
""," C8","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C12","0","1","1","1","0"
""," C12","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C5","0","1","1","1","0"
""," C1","0","1","1","2","0"
""," C5","0","1","1","1","0"
""," C17","0","1","1","2","0"
""," C1","0","1","1","3","0"
""," C14","0","1","1","4","0"
""," C8","0","1","1","1","0"
""," C12","0","1","1","1","0"
""," C16","0","1","1","1","0"
""," C11","0","1","1","2","0"
""," C5","0","1","1","1","0"
""," C8","0","1","1","1","0"
""," C13","0","1","1","2","0"
""," C19","0","1","1","3","0"
""," C13","0","1","1","1","0"
""," C13","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C12","0","1","1","1","0"
""," C9","0","1","1","1","0"
""," C8","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C13","0","1","1","1","0"
""," C19","0","1","1","2","0"
""," C12","0","1","1","1","0"
""," C12","0","1","1","1","0"
""," C5","0","1","1","1","0"
""," C14","0","1","1","2","0"
""," C13","0","1","1","1","0"
""," C13","0","1","1","1","0"
""," C1","0","1","1","1","0"
""," C19","0","1","1","2","0"
""," C19","0","1","1","1","0"
""," C12","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C12","0","1","1","1","0"
""," C12","0","1","1","1","0"
""," C12","0","1","1","1","0"
""," C9","0","1","1","1","0"
""," C19","0","1","1","2","0"
""," C12","0","1","1","1","0"
""," C12","0","1","1","1","0"
""," C17","0","1","1","1","0"
""," C5","0","1","1","1","0"
""," C1","0","1","1","1","0"
""," C13","0","1","1","2","0"
""," C19","0","1","1","3","0"
""," C16","0","1","1","1","0"
""," C11","0","1","1","2","0"
""," C15","0","1","1","3","0"
""," C19","0","1","1","4","0"
""," C8","0","1","1","1","0"
""," C12","0","1","1","1","0"
""," C12","0","1","1","1","0"
""," C12","0","1","1","1","0"
""," C12","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C12","0","1","1","1","0"
""," C16","0","1","1","1","0"
""," C12","0","1","1","1","0"
""," C8","0","1","1","1","0"
""," C15","0","1","1","2","0"
""," C19","0","1","1","3","0"
""," C5","0","1","1","1","0"
""," C7","0","1","1","2","0"
""," C4","0","1","1","3","0"
""," C12","0","1","1","1","0"
""," C12","0","1","1","1","0"
""," C12","0","1","1","1","0"
""," C14","0","1","1","1","0"
""," C2","0","1","1","1","0"
""," C17","0","1","1","1","0"
""," C7","0","1","1","1","0"
""," C16","0","1","1","2","0"
""," C4","0","1","1","3","0"
""," C19","0","1","1","4","0"
""," C19","0","1","1","1","0"
""," C5","0","1","1","1","0"
""," C4","0","1","1","2","0"
""," C11","0","1","1","3","0"
""," C17","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C12","0","1","1","1","0"
""," C9","0","1","1","1","0"
""," C7","0","1","1","1","0"
""," C4","0","1","1","2","0"
""," C19","0","1","1","3","0"
""," C12","0","1","1","1","0"
""," C8","0","1","1","1","0"
""," C15","0","1","1","2","0"
""," C19","0","1","1","3","0"
""," C19","0","1","1","1","0"
""," C14","0","1","1","1","0"
""," C12","0","1","1","1","0"
""," C10","0","1","1","1","0"
""," C5","0","1","1","2","0"
""," C7","0","1","1","3","0"
""," C4","0","1","1","4","0"
""," C11","0","1","1","5","0"
""," C8","0","1","1","1","0"
""," C11","0","1","1","2","0"
""," C19","0","1","1","3","0"
""," C5","0","1","1","1","0"
""," C7","0","1","1","1","0"
""," C4","0","1","1","2","0"
""," C19","0","1","1","3","0"
""," C12","0","1","1","1","0"
""," C9","0","1","1","1","0"
""," C5","0","1","1","1","0"
""," C1","0","1","1","2","0"
""," C14","0","1","1","3","0"
""," C12","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C12","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C2","0","1","1","1","0"
""," C12","0","1","1","1","0"
""," C7","0","1","1","1","0"
""," C4","0","1","1","2","0"
""," C19","0","1","1","3","0"
""," C5","0","1","1","1","0"
""," C1","0","1","1","2","0"
""," C14","0","1","1","3","0"
""," C12","0","1","1","1","0"
""," C5","0","1","1","1","0"
""," C8","0","1","1","1","0"
""," C11","0","1","1","2","0"
""," C7","0","1","1","1","0"
""," C4","0","1","1","2","0"
""," C19","0","1","1","3","0"
""," C10","0","1","1","1","0"
""," C5","0","1","1","2","0"
""," C7","0","1","1","3","0"
""," C4","0","1","1","4","0"
""," C19","0","1","1","1","0"
""," C12","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C9","0","1","1","1","0"
""," C7","0","1","1","2","0"
""," C4","0","1","1","3","0"
""," C19","0","1","1","4","0"
""," C19","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C8","0","1","1","1","0"
""," C11","0","1","1","2","0"
""," C17","0","1","1","1","0"
""," C2","0","1","1","2","0"
""," C14","0","1","1","3","0"
""," C7","0","1","1","1","0"
""," C4","0","1","1","2","0"
""," C19","0","1","1","3","0"
""," C9","0","1","1","1","0"
""," C5","0","1","1","2","0"
""," C4","0","1","1","3","0"
""," C12","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C9","0","1","1","1","0"
""," C9","0","1","1","1","0"
""," C7","0","1","1","2","0"
""," C4","0","1","1","3","0"
""," C19","0","1","1","4","0"
""," C10","0","1","1","1","0"
""," C7","0","1","1","2","0"
""," C16","0","1","1","3","0"
""," C4","0","1","1","4","0"
""," C12","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C12","0","1","1","1","0"
""," C12","0","1","1","1","0"
""," C7","0","1","1","1","0"
""," C4","0","1","1","2","0"
""," C19","0","1","1","3","0"
""," C8","0","1","1","1","0"
""," C11","0","1","1","2","0"
""," C19","0","1","1","1","0"
""," C9","0","1","1","1","0"
""," C1","0","1","1","2","0"
""," C17","0","1","1","1","0"
""," C2","0","1","1","2","0"
""," C7","0","1","1","1","0"
""," C4","0","1","1","2","0"
""," C8","0","1","1","3","0"
""," C11","0","1","1","4","0"
""," C19","0","1","1","1","0"
""," C12","0","1","1","1","0"
""," C9","0","1","1","1","0"
""," C5","0","1","1","2","0"
""," C7","0","1","1","3","0"
""," C4","0","1","1","4","0"
""," C7","0","1","1","1","0"
""," C4","0","1","1","2","0"
""," C19","0","1","1","3","0"
""," C9","0","1","1","1","0"
""," C19","0","1","1","2","0"
""," C10","0","1","1","1","0"
""," C5","0","1","1","2","0"
""," C14","0","1","1","3","0"
""," C19","0","1","1","1","0"
""," C7","0","1","1","1","0"
""," C4","0","1","1","2","0"
""," C19","0","1","1","3","0"
""," C12","0","1","1","1","0"
""," C5","0","1","1","1","0"
""," C17","0","1","1","2","0"
""," C1","0","1","1","3","0"
""," C14","0","1","1","4","0"
""," C5","0","1","1","1","0"
""," C1","0","1","1","2","0"
""," C5","0","1","1","1","0"
""," C7","0","1","1","2","0"
""," C4","0","1","1","3","0"
""," C12","0","1","1","1","0"
""," C11","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C7","0","1","1","1","0"
""," C4","0","1","1","2","0"
""," C11","0","1","1","3","0"
""," C12","0","1","1","1","0"
""," C12","0","1","1","1","0"
""," C12","0","1","1","1","0"
""," C17","0","1","1","1","0"
""," C1","0","1","1","2","0"
""," C14","0","1","1","3","0"
""," C12","0","1","1","1","0"
""," C17","0","1","1","1","0"
""," C16","0","1","1","1","0"
""," C8","0","1","1","2","0"
""," C11","0","1","1","3","0"
""," C19","0","1","1","4","0"
""," C19","0","1","1","1","0"
""," C16","0","1","1","1","0"
""," C11","0","1","1","2","0"
""," C12","0","1","1","1","0"
""," C14","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C12","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C13","0","1","1","1","0"
""," C7","0","1","1","1","0"
""," C4","0","1","1","2","0"
""," C19","0","1","1","3","0"
""," C12","0","1","1","1","0"
""," C8","0","1","1","1","0"
""," C2","0","1","1","1","0"
""," C1","0","1","1","1","0"
""," C14","0","1","1","2","0"
""," C19","0","1","1","3","0"
""," C5","0","1","1","1","0"
""," C4","0","1","1","2","0"
""," C12","0","1","1","1","0"
""," C13","0","1","1","1","0"
""," C5","0","1","1","1","0"
""," C7","0","1","1","2","0"
""," C1","0","1","1","3","0"
""," C4","0","1","1","4","0"
""," C5","0","1","1","1","0"
""," C16","0","1","1","2","0"
""," C1","0","1","1","3","0"
""," C14","0","1","1","4","0"
""," C17","0","1","1","1","0"
""," C8","0","1","1","1","0"
""," C15","0","1","1","2","0"
""," C19","0","1","1","3","0"
""," C8","0","1","1","1","0"
""," C11","0","1","1","2","0"
""," C5","0","1","1","1","0"
""," C8","0","1","1","2","0"
""," C12","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C12","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C12","0","1","1","1","0"
""," C8","0","1","1","1","0"
""," C11","0","1","1","2","0"
""," C10","0","1","1","1","0"
""," C19","0","1","1","2","0"
""," C8","0","1","1","1","0"
""," C11","0","1","1","2","0"
""," C19","0","1","1","3","0"
""," C5","0","1","1","1","0"
""," C8","0","1","1","1","0"
""," C11","0","1","1","2","0"
""," C19","0","1","1","3","0"
""," C12","0","1","1","1","0"
""," C5","0","1","1","1","0"
""," C8","0","1","1","1","0"
""," C13","0","1","1","2","0"
""," C7","0","1","1","1","0"
""," C4","0","1","1","2","0"
""," C19","0","1","1","3","0"
""," C5","0","1","1","1","0"
""," C1","0","1","1","2","0"
""," C5","0","1","1","1","0"
""," C4","0","1","1","2","0"
""," C12","0","1","1","1","0"
""," C12","0","1","1","1","0"
""," C17","0","1","1","1","0"
""," C2","0","1","1","2","0"
""," C2","0","1","1","1","0"
""," C14","0","1","1","1","0"
""," C16","0","1","1","1","0"
""," C13","0","1","1","1","0"
""," C5","0","1","1","1","0"
""," C16","0","1","1","2","0"
""," C4","0","1","1","3","0"
""," C11","0","1","1","1","0"
""," C5","0","1","1","1","0"
""," C1","0","1","1","2","0"
""," C4","0","1","1","3","0"
""," C12","0","1","1","1","0"
""," C10","0","1","1","1","0"
""," C7","0","1","1","2","0"
""," C16","0","1","1","3","0"
""," C4","0","1","1","4","0"
""," C5","0","1","1","1","0"
""," C11","0","1","1","2","0"
""," C19","0","1","1","3","0"
""," C7","0","1","1","1","0"
""," C4","0","1","1","2","0"
""," C19","0","1","1","3","0"
""," C12","0","1","1","1","0"
""," C8","0","1","1","1","0"
""," C11","0","1","1","2","0"
""," C19","0","1","1","3","0"
""," C19","0","1","1","1","0"
""," C12","0","1","1","1","0"
""," C7","0","1","1","1","0"
""," C4","0","1","1","2","0"
""," C15","0","1","1","3","0"
""," C19","0","1","1","4","0"
""," C5","0","1","1","1","0"
""," C7","0","1","1","2","0"
""," C4","0","1","1","3","0"
""," C19","0","1","1","4","0"
""," C12","0","1","1","1","0"
""," C2","0","1","1","1","0"
""," C12","0","1","1","1","0"
""," C2","0","1","1","1","0"
""," C5","0","1","1","1","0"
""," C7","0","1","1","2","0"
""," C16","0","1","1","3","0"
""," C4","0","1","1","4","0"
""," C5","0","1","1","1","0"
""," C17","0","1","1","2","0"
""," C1","0","1","1","3","0"
""," C14","0","1","1","4","0"
""," C11","0","1","1","1","0"
""," C12","0","1","1","1","0"
""," C7","0","1","1","1","0"
""," C4","0","1","1","2","0"
""," C11","0","1","1","3","0"
""," C10","0","1","1","1","0"
""," C1","0","1","1","1","0"
""," C14","0","1","1","2","0"
""," C5","0","1","1","1","0"
""," C1","0","1","1","2","0"
""," C2","0","1","1","1","0"
""," C5","0","1","1","1","0"
""," C7","0","1","1","2","0"
""," C16","0","1","1","3","0"
""," C4","0","1","1","4","0"
""," C12","0","1","1","1","0"
""," C1","0","1","1","1","0"
""," C5","0","1","1","1","0"
""," C7","0","1","1","2","0"
""," C1","0","1","1","3","0"
""," C4","0","1","1","4","0"
""," C19","0","1","1","1","0"
""," C7","0","1","1","1","0"
""," C4","0","1","1","2","0"
""," C11","0","1","1","3","0"
""," C19","0","1","1","4","0"
""," C12","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C5","0","1","1","1","0"
""," C7","0","1","1","2","0"
""," C4","0","1","1","3","0"
""," C19","0","1","1","4","0"
""," C17","0","1","1","1","0"
""," C2","0","1","1","2","0"
""," C7","0","1","1","1","0"
""," C4","0","1","1","2","0"
""," C19","0","1","1","3","0"
""," C12","0","1","1","1","0"
""," C8","0","1","1","1","0"
""," C11","0","1","1","2","0"
""," C15","0","1","1","3","0"
""," C5","0","1","1","1","0"
""," C1","0","1","1","2","0"
""," C7","0","1","1","1","0"
""," C4","0","1","1","2","0"
""," C19","0","1","1","3","0"
""," C8","0","1","1","1","0"
""," C15","0","1","1","2","0"
""," C19","0","1","1","3","0"
""," C8","0","1","1","1","0"
""," C15","0","1","1","2","0"
""," C19","0","1","1","3","0"
""," C5","0","1","1","1","0"
""," C1","0","1","1","1","0"
""," C8","0","1","1","2","0"
""," C15","0","1","1","3","0"
""," C19","0","1","1","4","0"
""," C12","0","1","1","1","0"
""," C12","0","1","1","1","0"
""," C1","0","1","1","1","0"
""," C14","0","1","1","2","0"
""," C19","0","1","1","3","0"
""," C2","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C9","0","1","1","1","0"
""," C19","0","1","1","1","0"
""," C9","0","1","1","1","0"
""," C1","0","1","1","2","0"
""," C14","0","1","1","3","0"
""," C19","0","1","1","4","0"
""," C12","0","1","1","1","0"
""," C5","0","1","1","1","0"
""," C19","0","1","1","2","0"
""," C7","0","1","1","1","0"
""," C4","0","1","1","2","0"
""," C19","0","1","1","3","0"
""," C12","0","1","1","1","0"
""," C12","0","1","1","1","0"
""," C12","0","1","1","1","0"
""," C2","0","1","1","1","0"
""," C7","0","1","1","1","0"
""," C4","0","1","1","2","0"
""," C19","0","1","1","3","0"
""," C2","0","1","1","1","0"
""," C14","0","1","1","2","0"
""," C7","0","1","1","1","0"
""," C4","0","1","1","2","0"
""," C19","0","1","1","3","0"
""," C7","0","1","1","1","0"
""," C4","0","1","1","2","0"
""," C15","0","1","1","3","0"
""," C19","0","1","1","4","0"
""," C7","0","1","1","1","0"
