"Student","Course","Alternative","Enrolled","Primary","Priority","Alternativity"
""," C27","0","1","1","1","0"
""," C43","0","1","1","2","0"
""," C27","0","1","1","1","0"
""," C43","0","1","1","2","0"
""," C27","0","1","1","1","0"
""," C43","0","1","1","2","0"
""," C27","0","1","1","1","0"
""," C43","0","1","1","2","0"
""," C27","0","1","1","1","0"
""," C43","0","1","1","2","0"
""," C27","0","1","1","1","0"
""," C43","0","1","1","2","0"
""," C27","0","1","1","1","0"
""," C43","0","1","1","2","0"
""," C27","0","1","1","1","0"
""," C43","0","1","1","2","0"
""," C27","0","1","1","1","0"
""," C43","0","1","1","2","0"
""," C27","0","1","1","1","0"
""," C43","0","1","1","2","0"
""," C27","0","1","1","1","0"
""," C43","0","1","1","2","0"
""," C27","0","1","1","1","0"
""," C43","0","1","1","2","0"
""," C27","0","1","1","1","0"
""," C43","0","1","1","2","0"
""," C42","0","1","1","1","0"
""," C27","0","1","1","1","0"
""," C43","0","1","1","2","0"
""," C27","0","1","1","1","0"
""," C43","0","1","1","2","0"
""," C25","0","1","1","1","0"
""," C43","0","1","1","2","0"
""," C27","0","1","1","1","0"
""," C43","0","1","1","2","0"
""," C43","0","1","1","1","0"
""," C43","0","1","1","1","0"
""," C43","0","1","1","1","0"
